"index","type","start","end","text"
"128","cue","00:06:43,920","00:06:45,480","<i>Sharron and Rhonda,</i>"
"129","cue","00:06:45,880","00:06:47,040","<i>Chloe and David,</i>"
"130","cue","00:06:47,680","00:06:48,880","<i>Nicole and Matthew,</i>"
"131","cue","00:06:49,360","00:06:50,440","<i>Haley and Kelz.</i>"
"132","cue","00:06:50,520","00:06:52,920","<i>Oh, and Harry and Francesca.</i>"
"133","cue","00:06:53,000","00:06:54,360","Oh, fuck."
"134","cue","00:06:54,760","00:06:56,160","This couldn't be better."
"135","cue","00:06:56,640","00:06:58,640","I think Francesca's definitely annoyed,"
"136","cue","00:06:58,720","00:07:01,920","but a little bit of black rope
and a bit of a bondage session"
"137","cue","00:07:02,000","00:07:04,520","will change anyone's perspective
on any situation."
"138","cue","00:07:04,920","00:07:07,320","I'm here to teach a workshop on Shibari."
"139","cue","00:07:08,160","00:07:09,200","[Haley] What's it called?"
"140","cue","00:07:09,560","00:07:10,920","Shabology?"
"141","cue","00:07:11,000","00:07:12,480","- Shibari.
- Sabori?"
"142","cue","00:07:12,920","00:07:14,120","- Shibari.
- Shobori?"
"143","cue","00:07:14,200","00:07:15,920","- Shibari.
- What's the word?"
"144","cue","00:07:16,280","00:07:17,720","<i>Shibari!</i>"
"145","cue","00:07:17,800","00:07:19,920","Have you guys ever played before
with bondage,"
"146","cue","00:07:20,400","00:07:22,240","with handcuffs, with restraints?"
"147","cue","00:07:22,360","00:07:24,560","<i>Duh. How do you think
they got picked for this show?</i>"
"148","cue","00:07:24,960","00:07:27,080","- You ready for this?
- No."
"149","cue","00:07:27,400","00:07:28,480","[Chloe whoops]"
"150","cue","00:07:28,840","00:07:32,640","Yes! I am so excited
to be paired up with Chloe."
"151","cue","00:07:32,720","00:07:36,520","<i>♪ Oh, to get, get
To, to slide with me, slide with me ♪</i>"
"152","cue","00:07:36,640","00:07:38,440","Ohh! It feels so good!"
"153","cue","00:07:38,520","00:07:42,600","Shibari is based in power play,
but in a really unexpected way."
"154","cue","00:07:43,000","00:07:45,280","Because, truly,
when you're the person with the rope,"
"155","cue","00:07:45,360","00:07:46,280","when you're the rigger,"
"156","cue","00:07:46,360","00:07:49,560","you're actually the one who
is surrendering and trusting your partner."
"157","cue","00:07:49,640","00:07:50,680","[Haley] I'm nervous."
"158","cue","00:07:50,920","00:07:52,960","I think I'm happy with this, actually."
"159","cue","00:07:53,040","00:07:55,200","How tight do you want things?
How much pressure?"
"160","cue","00:07:55,280","00:07:56,760","Does this feel good for you?"
"161","cue","00:07:56,840","00:07:58,936","- [Kelz] It's like your portable gym bag.
- [laughter]"
"162","cue","00:07:58,960","00:08:01,440","- [Kelz] It comes in black leather.
- [Haley] What?"
"163","cue","00:08:01,520","00:08:02,640","All right?"
"164","cue","00:08:02,720","00:08:06,240","They're teaching them the principles
of how to take that same language"
"165","cue","00:08:06,320","00:08:09,480","and apply it to every other facet
of their intimate connections."
"166","cue","00:08:09,560","00:08:11,800","- I can't get out of this one.
- [Kelz] No, you can't."
"167","cue","00:08:12,400","00:08:13,920","Getting Haley to trust me,"
"168","cue","00:08:14,000","00:08:16,040","to put her in that kind of
compromising position,"
"169","cue","00:08:16,720","00:08:19,040","I like the fact
that she was able to trust me."
"170","cue","00:08:19,120","00:08:20,800","That was... That meant a lot to me."
"171","cue","00:08:22,800","00:08:24,520","Get it in there. Shove it."
"172","cue","00:08:26,320","00:08:29,480","The hardest part
about the whole Shibari experiences"
"173","cue","00:08:29,560","00:08:32,200","was acting like
I had never done that before."
"174","cue","00:08:32,280","00:08:34,080","So, I think it goes down."
"175","cue","00:08:35,000","00:08:37,520","I was, like, ""Oh, what knot is this?"
"176","cue","00:08:37,600","00:08:38,640","Wow."
"177","cue","00:08:38,880","00:08:40,880","Never done that before."""
"178","cue","00:08:41,320","00:08:44,360","<i>Oh, Jesus, you naughty boy.</i>"
"179","cue","00:08:44,440","00:08:46,600","<i>♪ There's got to be a reason ♪</i>"
"180","cue","00:08:47,560","00:08:49,720","<i>♪ That we're this way in the first place ♪</i>"
"181","cue","00:08:49,800","00:08:51,200","<i>Ooh, this looks awkward.</i>"
"182","cue","00:08:52,960","00:08:54,760","Walk away now
if you're not feeling it, but..."
"183","cue","00:08:55,640","00:08:57,440","- I'm...
- Obviously, I'm not feeling it."
"184","cue","00:08:57,520","00:08:59,080","Yeah. But I'm here, like, open arms."
"185","cue","00:08:59,160","00:09:01,720","If you don't want to be mature
and talk about it, that's cool."
"186","cue","00:09:01,800","00:09:02,920","I'm not..."
"187","cue","00:09:03,000","00:09:07,280","Me doing this is not me being immature.
It's just me standing my ground."
"188","cue","00:09:07,840","00:09:10,080","[Francesca] I think
he's still a piece of shit,"
"189","cue","00:09:10,160","00:09:13,760","but I do want to embrace the process."
"190","cue","00:09:14,840","00:09:17,440","So, how are you guys doing?
Talk me through what's going on."
"191","cue","00:09:17,520","00:09:19,560","There's been a bit of drama
the past couple of days."
"192","cue","00:09:19,640","00:09:20,680","- Yes.
- I apologized."
"193","cue","00:09:21,160","00:09:24,800","It was a shit situation. The best thing
to do is be adults and move on."
"194","cue","00:09:24,880","00:09:26,080","And what do you want?"
"195","cue","00:09:26,760","00:09:28,200","I just don't really want to..."
"196","cue","00:09:28,680","00:09:31,200","be around someone
who, like, hurt me like that, so..."
"197","cue","00:09:31,280","00:09:34,800","This is a chance for you guys to play,
to try something new, to experiment."
"198","cue","00:09:34,880","00:09:38,160","Use your feelings to your advantage.
You don't have to push them down."
"199","cue","00:09:38,240","00:09:39,720","- Okay? All right.
- [Francesca] Okay."
"200","cue","00:09:40,000","00:09:41,240","[Harry] You want to hug it out?"
"201","cue","00:09:42,640","00:09:44,120","<i>Ah, that's better.</i>"
"202","cue","00:09:44,200","00:09:45,280","<i>All they need to do now</i>"
"203","cue","00:09:45,360","00:09:48,200","<i>is take a leaf out of
Sharron and Rhonda's book of bondage.</i>"
"204","cue","00:09:50,720","00:09:52,520","- [Rhonda gasps]
<i>- </i>You wanna play all day."
"205","cue","00:09:52,600","00:09:54,560","[Rhonda] You know what, I...
Stop. I said stop."
"206","cue","00:09:54,640","00:09:56,160","- [Sharron] That's cool.
- [Rhonda] No."
"207","cue","00:09:56,480","00:09:58,040","This is not about..."
"208","cue","00:09:58,520","00:09:59,800","It's not about that."
"209","cue","00:10:02,600","00:10:04,320","I don't look at him and just see sex,"
"210","cue","00:10:04,400","00:10:06,800","and I don't feel like he looks at me
and just sees sex."
"211","cue","00:10:07,120","00:10:10,880","<i>Really? 'Cause his tongue looks like
it's telling a different story.</i>"
"212","cue","00:10:10,960","00:10:13,760","Definitely missing sex right now.
I feel like..."
"213","cue","00:10:14,200","00:10:15,320","I lost my best friend."
"214","cue","00:10:16,080","00:10:17,160","This feel good to you?"
"215","cue","00:10:17,400","00:10:18,520","[she giggles]"
"216","cue","00:10:19,040","00:10:21,320","- I miss you, sex.
- <i>See, I told you.</i>"
"217","cue","00:10:22,000","00:10:24,400","- [Shan] You have done a stunning job.
- [David] A great job."
"218","cue","00:10:24,440","00:10:27,200","- [Chloe] Does it turn you on, or not?
<i>- </i>Not massively."
"219","cue","00:10:27,600","00:10:30,840","<i>Oh, David, that is not
what she wants to hear.</i>"
"220","cue","00:10:31,240","00:10:33,360","[Chloe] I'm very indecisive about David."
"221","cue","00:10:33,440","00:10:36,400","I'm trying to understand
a deeper connection"
"222","cue","00:10:36,480","00:10:37,680","and if there is one."
"223","cue","00:10:37,760","00:10:41,120","And if there is isn't,
what is there between us?"
"224","cue","00:10:41,760","00:10:43,400","[David] Can you take this off now?"
"225","cue","00:10:43,800","00:10:44,800","Yeah. I'm sorry."
"226","cue","00:10:44,840","00:10:48,160","<i>Something tells me
Chloe's about to cut you loose, David.</i>"
"227","cue","00:10:48,840","00:10:50,680","[Harry yells] Rope burn."
"228","cue","00:10:51,080","00:10:53,440","How is this fun for anyone?"
"229","cue","00:10:53,520","00:10:54,600","[Francesca] I like this."
"230","cue","00:10:54,680","00:10:56,160","- This is fun for me.
- [Harry laughs]"
"231","cue","00:10:56,200","00:11:00,240","<i>Well, it certainly didn't take these two
long to get into the swing of things.</i>"
"232","cue","00:11:00,560","00:11:04,000","[Francesca] Tying him up was great,
'cause I was kind of hurting him."
"233","cue","00:11:04,080","00:11:06,376","I had a bit of pent-up aggression
that I needed to get out."
"234","cue","00:11:06,400","00:11:09,560","- Lana!
- She's getting out some frustration!"
"235","cue","00:11:10,840","00:11:12,080","- Help me!
- [laughter]"
"236","cue","00:11:12,160","00:11:14,240","<i>Who knew bondage, I mean, Shibari,</i>"
"237","cue","00:11:14,320","00:11:17,200","<i>could get Fran
almost trusting Harry again?</i>"
"238","cue","00:11:17,640","00:11:20,401","I can't say you're Shibari masters,
but you're definitely on your way."
"239","cue","00:11:20,480","00:11:23,720","The Shibari worked wonders
for me and Francesca."
"240","cue","00:11:24,800","00:11:26,760","- I like that. Do it again.
- Doesn't hurt?"
"241","cue","00:11:26,840","00:11:28,200","[Harry] I know she wants me."
"242","cue","00:11:28,280","00:11:30,160","And I'm sure we learned a couple of things"
"243","cue","00:11:30,240","00:11:32,720","that me and her would definitely use later
or in the future."
"244","cue","00:11:33,040","00:11:35,400","<i>Wishful thinking, you cheeky little dingo.</i>"
"245","cue","00:11:37,880","00:11:39,680","<i>Following the Shibari Workshop,</i>"
"246","cue","00:11:39,760","00:11:42,360","<i>Rhonda is trying to untangle her feelings,</i>"
"247","cue","00:11:42,440","00:11:44,280","<i>while Sharron is hiding his</i>"
"248","cue","00:11:44,360","00:11:46,280","<i>under a large orange cushion.</i>"
"249","cue","00:11:46,360","00:11:49,040","You know how Lana's trying
to help us develop, like..."
"250","cue","00:11:49,120","00:11:51,920","So, are you not caring
about the lesson at the end,"
"251","cue","00:11:52,000","00:11:54,761","- or are you just like, ""Fuck it""?
- I think Lana's already helped me."
"252","cue","00:11:55,280","00:11:58,280","She showed me that I can go
a little bit longer than I think,"
"253","cue","00:11:58,360","00:11:59,496","- so I think I...
- That's it?"
"254","cue","00:11:59,520","00:12:00,800","Yeah. I think that's..."
"255","cue","00:12:00,880","00:12:03,560","- I got out of it what I was supposed to.
- That's it?"
"256","cue","00:12:03,960","00:12:07,120","What's the longest you've gone
without sex? Or doing anything?"
"257","cue","00:12:08,920","00:12:09,840","Can't tell you."
"258","cue","00:12:09,920","00:12:11,200","Because you haven't had to."
"259","cue","00:12:11,840","00:12:12,840","Wow."
"260","cue","00:12:13,560","00:12:14,880","I genuinely like you."
"261","cue","00:12:15,520","00:12:17,280","I genuinely want to get to know you..."
"262","cue","00:12:18,280","00:12:19,800","but I also don't want..."
"263","cue","00:12:21,080","00:12:22,080","anything to mess it up."
"264","cue","00:12:23,880","00:12:26,960","[Sharron] Definitely afraid of
developing a soft spot for Rhonda."
"265","cue","00:12:27,040","00:12:30,200","I've had my heart broke.
My ex left me for my best friend."
"266","cue","00:12:30,280","00:12:33,080","The pain I felt, I just never wanted
to feel that pain again."
"267","cue","00:12:33,160","00:12:34,920","<i>♪ They say I'm living in a dream ♪</i>"
"268","cue","00:12:35,480","00:12:37,040","[Sharron] I like you, right?"
"269","cue","00:12:37,120","00:12:39,280","But then, it's also too early to see."
"270","cue","00:12:40,640","00:12:42,240","[Rhonda] I do have feelings for Sharron."
"271","cue","00:12:42,280","00:12:46,960","He is being 100 percent honest with me,
which I completely respect and appreciate,"
"272","cue","00:12:47,560","00:12:49,360","but I don't wanna get hurt."
"273","cue","00:12:51,840","00:12:54,000","<i>♪ It's all good, it can get even better ♪</i>"
"274","cue","00:12:54,400","00:12:56,600","<i>♪ A blue sky, there's only sunny weather ♪</i>"
"275","cue","00:12:56,920","00:12:59,240","<i>♪ It's a perfect day
Ain't nothing wrong ♪</i>"
"276","cue","00:12:59,320","00:13:01,320","<i>♪ 'Cause everything's all right ♪</i>"
"277","cue","00:13:02,360","00:13:04,080","[David] It's been nice
hanging out with you."
"278","cue","00:13:04,120","00:13:07,600","- Yeah.
- To be honest, you are a wonderful person."
"279","cue","00:13:08,440","00:13:10,440","Honestly,
I think Chloe and I are compatible."
"280","cue","00:13:10,840","00:13:12,920","She's lovely and I do have a flirt."
"281","cue","00:13:13,000","00:13:15,960","We do have a laugh
and, like, I love being around her."
"282","cue","00:13:16,040","00:13:18,240","You're beautiful, as well,
and it's just, like..."
"283","cue","00:13:18,680","00:13:21,200","we both had sexual chemistry
and sexual tension."
"284","cue","00:13:21,280","00:13:22,400","Do you know what I mean?"
"285","cue","00:13:23,480","00:13:24,520","[unenthusiastically] Yeah."
"286","cue","00:13:27,880","00:13:29,200","Like, the date was really good."
"287","cue","00:13:29,280","00:13:31,960","- Like, sexual chemistry was there.
- [he laughs]"
"288","cue","00:13:33,160","00:13:35,760","<i>I feel like there's a ""but"" coming.</i>"
"289","cue","00:13:35,840","00:13:38,080","But I think I'm not convinced"
"290","cue","00:13:38,160","00:13:41,160","that we would be anything,
like, seriously more."
"291","cue","00:13:44,320","00:13:45,360","Yeah."
"292","cue","00:13:45,520","00:13:47,640","[Chloe] David's a lovely guy, but,"
"293","cue","00:13:48,080","00:13:49,640","at the end of the day,"
"294","cue","00:13:49,960","00:13:52,280","there's no spark there."
"295","cue","00:13:52,360","00:13:57,600","<i>♪ This time, no one can pretend ♪</i>"
"296","cue","00:13:59,440","00:14:01,320","I'm glad we've had that chat, anyway."
"297","cue","00:14:01,480","00:14:02,680","[David] Yeah. It's cool."
"298","cue","00:14:03,360","00:14:06,640","<i>♪ This is how the story ends ♪</i>"
"299","cue","00:14:06,720","00:14:08,000","[David groans]"
"300","cue","00:14:08,120","00:14:09,560","That is frustrating."
"301","cue","00:14:10,200","00:14:12,480","I can't remember
the last time that happened,"
