"index","type","start","end","text"
"138","cue","00:07:49,000","00:07:51,320","[imitating cat meowing]"
"139","cue","00:07:51,640","00:07:54,240","{\an8}[narrator as cat, in Spanish]"
"140","cue","00:07:56,000","00:07:58,640","-[Jordan] Is it talking to you?
-Yes, look at it."
"141","cue","00:07:58,720","00:08:00,360","Should we name her…"
"142","cue","00:08:00,440","00:08:02,800","{\an8}[narrator as cat, in Spanish]"
"143","cue","00:08:08,160","00:08:10,120","You are part lion, so…"
"144","cue","00:08:10,200","00:08:12,360","{\an8}[narrator as cat, in Spanish]"
"145","cue","00:08:16,440","00:08:19,200","I legit can talk cat. [chuckles]"
"146","cue","00:08:22,400","00:08:24,800","How are you feeling? [snickers, chuckles]"
"147","cue","00:08:24,880","00:08:26,880","-Yeah, how are you feeling? Talk to me.
-Um."
"148","cue","00:08:27,400","00:08:29,960","What would you have done
if you had first pick?"
"149","cue","00:08:30,760","00:08:33,159","-That wasn't my first pick.
-Yeah."
"150","cue","00:08:33,240","00:08:37,880","I don't want it to affect anything else,
but I kind of, like--"
"151","cue","00:08:38,440","00:08:40,360","Like, now it's awkward"
"152","cue","00:08:40,440","00:08:43,919","because it's hard for me now
to jump into bed with someone"
"153","cue","00:08:44,000","00:08:46,880","when there's this
kind of can of worms now."
"154","cue","00:08:46,960","00:08:49,000","Being honest,
I just feel kind of disappointed"
"155","cue","00:08:49,080","00:08:51,320","that I'm not coupled up with Mitch."
"156","cue","00:08:52,840","00:08:54,200","[groans]"
"157","cue","00:08:54,280","00:08:55,480","Sorry, I had to do that."
"158","cue","00:08:55,560","00:08:58,520","I just don't love the idea
of seeing you in bed with someone."
"159","cue","00:08:58,600","00:09:01,640","And knowing what he's like,
he's obviously gonna stick it on you."
"160","cue","00:09:01,720","00:09:04,800","-[Tina] Well, I feel like--
-I don't love the idea of that."
"161","cue","00:09:05,400","00:09:08,480","I don't think anything's gonna get
stuck on me, but anyway."
"162","cue","00:09:08,560","00:09:09,880","Well, you know what I mean."
"163","cue","00:09:09,960","00:09:12,520","You know,
I'm literally seeing a bloke and my ex"
"164","cue","00:09:12,600","00:09:16,360","who I'm not even sure how I feel
right now about her, in the same bed."
"165","cue","00:09:16,440","00:09:18,520","Like, it's--
I don't know how I'm gonna react,"
"166","cue","00:09:18,600","00:09:19,600","how I'm gonna feel."
"167","cue","00:09:20,200","00:09:23,320","It's just weird that I feel like this."
"168","cue","00:09:23,960","00:09:26,440","-Yeah, I didn't expect this.
-[Tina sniffles, chuckling]"
"169","cue","00:09:27,040","00:09:30,120","-Fuck.
-[inhales deeply, sniffles]"
"170","cue","00:09:31,640","00:09:37,440","I feel like I'm just super nervous about
even opening things up with Mitch."
"171","cue","00:09:38,120","00:09:41,120","I know I'm doing a stupid thing.
I feel like I just--"
"172","cue","00:09:41,200","00:09:42,360","I'm embarrassed. I'm--"
"173","cue","00:09:42,440","00:09:44,560","Honestly, I'm embarrassed. I'm appalled."
"174","cue","00:09:44,640","00:09:46,080","I want to be, like, girl power"
"175","cue","00:09:46,160","00:09:50,040","and be like, ""I've moved on,""
like, ""See you later."" [inhales deeply]"
"176","cue","00:09:50,120","00:09:56,320","But it just doesn't feel like that,
and I'm just really pissed off at myself."
"177","cue","00:10:02,520","00:10:05,000","-[Claudia] Yes, you did.
-[chuckling]"
"178","cue","00:10:07,160","00:10:08,480","Fuck, look at this."
"179","cue","00:10:08,560","00:10:09,840","Look at your abs, bro."
"180","cue","00:10:09,920","00:10:12,640","[Mitch imitating narrator]
Tonight on <i>Love Island</i>…"
"181","cue","00:10:12,720","00:10:14,080","-[chuckling]
-[Mitch chuckles]"
"182","cue","00:10:14,160","00:10:18,920","The boys take thirst traps. [laughs]"
"183","cue","00:10:20,760","00:10:22,720","-I know. [gasps]
-Excited?"
"184","cue","00:10:22,800","00:10:24,400","-Yeah, I'm so excited.
-I wonder what's gonna happen."
"185","cue","00:10:24,480","00:10:27,680","[Stella] The only issue that I had
with coupling up with Mitch,"
"186","cue","00:10:27,760","00:10:29,720","which I put to the back of my mind,"
"187","cue","00:10:29,800","00:10:34,000","was the fact that obviously Tina's here
and he's still connected to Tina."
"188","cue","00:10:34,080","00:10:37,080","But I hope that we can actually
see where this goes."
"189","cue","00:10:40,400","00:10:42,360","[Callum]
Do you go in the top sheet or the bottom?"
"190","cue","00:10:42,440","00:10:43,840","[Tina] You don't do top sheet. I just--"
"191","cue","00:10:43,920","00:10:47,040","I mean, you don't do--
I already know that you won't like this."
"192","cue","00:10:47,120","00:10:47,960","-Yeah.
-[Tina] Yeah."
"193","cue","00:10:48,040","00:10:49,680","Here, I'll chuck it down there."
"194","cue","00:10:49,760","00:10:51,440","You know, as hard as it is right now,"
"195","cue","00:10:51,520","00:10:53,640","seeing each other with other people
and all that,"
"196","cue","00:10:53,720","00:10:55,280","we both just have to do it."
"197","cue","00:10:57,480","00:11:03,760","Five, four, three, two, one."
"198","cue","00:11:04,360","00:11:06,360","[gasps, sighs]"
"199","cue","00:11:12,160","00:11:13,760","I thought we were banging
on the first night."
"200","cue","00:11:14,760","00:11:16,000","Don't."
"201","cue","00:11:17,000","00:11:18,600","Oh, my God, is it 'cause of your hair?"
"202","cue","00:11:35,200","00:11:37,800","[narrator] <i>All is peaceful. All is calm.</i>"
"203","cue","00:11:38,320","00:11:42,520","<i>The warm Spanish breeze wafts gently</i>
<i>through the trees.</i>"
"204","cue","00:11:42,600","00:11:45,400","<i>Pinky smiles as the sun rises,</i>"
"205","cue","00:11:45,480","00:11:47,120","<i>and it's all so…</i>"
"206","cue","00:11:47,200","00:11:48,840","<i>boring!</i>"
"207","cue","00:11:54,680","00:11:57,040","I'm Maddy.
I'm 25, and I live in Melbourne."
"208","cue","00:11:58,720","00:12:00,880","I feel like my sexiest feature
would be my smile,"
"209","cue","00:12:00,960","00:12:02,680","but the boys always go for the booty."
"210","cue","00:12:04,120","00:12:08,480","My typical type would be a guy that is
confident, outgoing, easy to talk to"
"211","cue","00:12:08,560","00:12:10,160","and definitely
with a bit of height on him."
"212","cue","00:12:11,600","00:12:13,800","Girls, you better watch out
because I may steal your man."
"213","cue","00:12:17,320","00:12:22,160","[narrator] <i>Maddy's presence is activating</i>
<i>Callum's bat-like babe sonar,</i>"
"214","cue","00:12:22,240","00:12:23,920","<i>or ""bonar.""</i>"
